"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16119","execute end-to-end test flow @end-to-end","chromium","2026-02-16","passed","2026-02-16","","E2E Testing.spec.ts","",""
"","9192","Login test with JSON data: Valid login","chromium","2026-02-16","passed","2026-02-16","","LoginDatadrivenJson.spec.ts","",""
"","8667","Login test with JSON data: Invalid login","chromium","2026-02-16","passed","2026-02-16","","LoginDatadrivenCSV.spec.ts","",""
"","9892","User logout tes @master @regression","chromium","2026-02-16","passed","2026-02-16","","Logout.spec.ts","",""
"","25505","Add product to cart @master @regression","chromium","2026-02-16","passed","2026-02-16","","AddCart.spec.ts","",""
"","5399","Product search test @master @regression","chromium","2026-02-16","passed","2026-02-16","","SearchProducts.spec.ts","",""
"","22872","Login test with JSON data: Valid login","chromium","2026-02-16","passed","2026-02-16","","LoginDatadrivenCSV.spec.ts","",""
"","10178","Login test with JSON data: Invalid login","chromium","2026-02-16","passed","2026-02-16","","LoginDatadrivenJson.spec.ts","",""
"","22629","User Login Test","chromium","2026-02-16","passed","2026-02-16","","Login.spec.ts","",""
"","27699","user registration test @master @sanity @regression","chromium","2026-02-16","passed","2026-02-16","","AccountRegistration.spec.ts","",""
